x,y,z,status
0.795,0.32,0.43,used
0.875,0.035,0.52,used
0.88,0.22,0.32,used
0.91,0.153333333,0.493333333,used
0.87,0.08,0.41,used
0.9,0.22,0.5,used
0.846666667,0.226666667,0.466666667,used
0.885,0.195,0.555,used
0.9,0.235,0.445,used
0.91,0.23,0.32,used
0.923333333,0.056666667,0.4,used
0.88,0.295,0.05,used
0.9,0.44,-0.13,used
0.893333333,0.36,0.23,used
0.915,0.31,0.255,used
0.96,0.245,0.265,used
0.92,0.18,0.3,used
0.91,0.18,0.373333333,used
0.88,0.15,0.575,used
0.45,0.57,0.95,used
